country,year,variable,value,currency,source_name,source_url,source_type,confidence,needs_verification,notes
australia,2016,min_wage_weekly,672.70,AUD,Fair Work Commission — National Minimum Wage Order 2016,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages/minimum-wage-orders/national-minimum-wage-order-2016,official,high,false,"National Minimum Wage Order 2016. Vigente desde 1 julio 2016. $672.70/semana, $17.70/hora. Aplica a trabajadores adultos full-time."
australia,2016,min_wage_hourly,17.70,AUD,Fair Work Commission — National Minimum Wage Order 2016,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages/minimum-wage-orders/national-minimum-wage-order-2016,official,high,false,Tarifa por hora correspondiente. Semana estándar de 38 horas.
australia,2017,min_wage_weekly,694.90,AUD,Fair Work Commission — National Minimum Wage Order 2017,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages/minimum-wage-orders,official,high,false,"National Minimum Wage Order 2017. Vigente desde 1 julio 2017. $694.90/semana, $18.29/hora."
australia,2018,min_wage_weekly,719.20,AUD,Fair Work Commission — National Minimum Wage Order 2018,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages/minimum-wage-orders,official,high,false,"National Minimum Wage Order 2018. $719.20/semana, $18.93/hora."
australia,2019,min_wage_weekly,740.80,AUD,Fair Work Commission — National Minimum Wage Order 2019,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages/minimum-wage-orders,official,high,false,"National Minimum Wage Order 2019. $740.80/semana, $19.49/hora."
australia,2020,min_wage_weekly,753.80,AUD,Fair Work Commission — National Minimum Wage Order 2020,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages/minimum-wage-orders,official,high,false,"National Minimum Wage Order 2020. $753.80/semana, $19.84/hora. Aumento reducido por COVID-19."
australia,2021,min_wage_weekly,772.60,AUD,Fair Work Commission — National Minimum Wage Order 2021,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages/minimum-wage-orders,official,high,false,"National Minimum Wage Order 2021. $772.60/semana, $20.33/hora."
australia,2022,min_wage_weekly,812.60,AUD,Fair Work Commission — National Minimum Wage Order 2022,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages/minimum-wage-orders,official,high,false,"National Minimum Wage Order 2022. $812.60/semana, $21.38/hora. Aumento 5.2% por alta inflación."
australia,2023,min_wage_weekly,882.80,AUD,Fair Work Commission — National Minimum Wage Order 2023,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages/minimum-wage-orders,official,high,false,"National Minimum Wage Order 2023. $882.80/semana, $23.23/hora. Aumento 8.65% histórico."
australia,2024,min_wage_weekly,915.90,AUD,Fair Work Commission — National Minimum Wage Order 2024,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages/minimum-wage-orders,official,high,false,"National Minimum Wage Order 2024. $915.90/semana, $24.10/hora. Vigente desde 1 julio 2024."
australia,2025,min_wage_weekly,949.50,AUD,Fair Work Commission — National Minimum Wage Order 2025 (estimado),https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages,official,medium,true,"Estimación para FY2025-26. PENDIENTE — verificar con Fair Work Commission Annual Wage Review 2025. El FWC publica el nuevo salario mínimo alrededor de junio de cada año."
australia,2026,min_wage_weekly,915.90,AUD,Fair Work Commission — National Minimum Wage Order 2024,https://www.fwc.gov.au/agreements-awards/pay-and-conditions/minimum-wages,official,medium,true,"NOTA: Usando $915.90 (FY2024) como proxy para comparación 2026 hasta verificar el orden 2025. Si el año fiscal aplica FY2025, verificar si se publicó un nuevo NMW Order."
